@relation departments_string

@attribute document_name string
@attribute document_content string

@data
Justice, "Criminal Justice Criminal Justice Although criminal justice is primarily a graduate program offering, undergraduate students may concentrate in criminal justice or apply for a special studies major in criminal justice. This interdisciplinary field studies the definition of crime, the causes and control of criminal behavior, and the operation of the criminal justice system. Internships are available with the State of Connecticut's criminal justice agencies. PROGRAM OF STUDY: BA, MS DEPARTMENT CHAIR Stephen Cox Location: Vance Academic Center Room 454 Phone: 832-3755 Department Website"
Languages, "Modern Languages Modern Languages The Modern Language Department offers the BA degree in French, Spanish, Italian, and German, the MA in Spanish and French, and the MS in Spanish. Courses in literature, civilization, composition, and oral expression are integral to all these programs. A major in International Studies with a focus on Russian Studies is also offered. Courses in other languages (Chinese, Japanese, Polish) are offered regularly. Modern Language faculty are active in national and international professional organizations. Each summer they offer a variety of foreign travel/study experiences for credit. PROGRAMS OF STUDY: BA, MA, MS DEPARTMENT CHAIR Louis Auld Location: Davidson Hall 212 Phone: 832-2875 Department Website"
Math, "Mathematical Sciences Mathematical Sciences The Department of Mathematical Sciences offers BA and MA degrees in mathematics and mathematics with specialization in actuarial science, computer systems and software engineering, operations research, and statistics. Concentrations are also offered in mathematics, statistics, and mathematics for physics majors. Opportunities for student internships and cooperative education experiences are available with local businesses and industries. Departmental scholarships are awarded annually to students in specific specialization. PROGRAMS OF STUDY: BA, MA, MS DEPARTMENT CHAIR Timothy Craine Location: Marcus White Hall 107 Phone: 832-2835 Department Website"
Music, "Music Music Students majoring in music may pursue either a BS in Music education degree, the professional degree that certifies them to teach music in the public schools, or a BA in music, with specializations in either performance, music history, theory/composition, or jazz studies. Full-time and associate faculty are active in the United States and abroad performing, conducting, and presenting scholarly papers. The department's computer lab is equipped with MIDI keyboards and the industry's leading music software. The Music Department is the New England center for Orff Schulwerk training and the host for Connecticut's middle school/high school music festival and the Summer Music Institute, a national in-service program for music educators. PROGRAMS OF STUDY: BS, BA, MS DEPARTMENT CHAIR Pamela Perry Location: Welte Hall 101 Phone: 832-2900 Department Website"
Philosophy, "Philosophy Philosophy The Department of Philosophy offers undergraduate major and concentration programs. With an emphasis on the history of philosophy, the department offers a broad spectrum of courses reflecting the diversity of both Western and non-Western thought. A specialization in applied ethics is available as well as an interdisciplinary concentration in religious studies. The department is also the academic home for the University's Honors Program. PROGRAM OF STUDY: BA DEPARTMENT CHAIR Joseph McKeon Location: Marcus White Hall 318 Phone: 832-2915 Department Website"
Physics, "Physics/Earth Sciences Physics/Earth Sciences The Physics and Earth Sciences Department has numerous introductory and intermediate/advanced laboratories as well as two teaching laboratories, an observatory containing a 16-inch telescope, a 100-seat planetarium, a 400-kv Van de Graaff linear accelerator, an ion implanter, and a fully-equipped weather center. Using these facilities, the faculty teach a variety of courses in geology, astronomy, meteorology, oceanography, mechanics, optics, electricity, magnetism, thermodynamics, and astrophysics. Faculty research areas include atomic collisions, ground water pollution, particle physics, solid state physics, applied holography, and general relativity. Whenever possible, students enrolled in the physics major assist the faculty with their ongoing studies. PROGRAM OF STUDY: BS DEPARTMENT CHAIR Ali Antar Location: Copernicus Hall 509 Phone: 832-2931 Physics Website CCSU Weather Center Website"
Political, "Political Science Political Science The BA in political science is structured around course work in political theory, comparative government, international relations and organization, public law, public administration, and state and local government. Political science majors may specialize in public administration. Others chose one or more international and area studies concentrations. Legislative internships are available for those who want to observe practical politics firsthand and to gain governmental experience. In addition, the applied research activities of the Center for Social Research provide a range of real world learning experiences. Pre-law students are advised by faculty in the Political Science Department. PROGRAM OF STUDY: BA DEPARTMENT CHAIR: 832-2960 Ghassen El Eid Location: DiLoreto Hall 015 Phone: 832-2960 Department Website"
Psychology, "Psychology Psychology The Psychology Department offers courses leading to the BA and MA in psychology. Undergraduate students are exposed to the major subfields of psychology (biological, clinical, developmental, experimental, personality, social) as well as courses in their own areas of interest. Majors design and conduct their own research projects. Students may also have the opportunity to assist faculty in their research or to do internships in the community (e.g., Institute of Living, Wheeler Clinic, Elmcrest Hospital). PROGRAMS OF STUDY: BA, MA DEPARTMENT CHAIR Frank Donis Location: Marcus White Hall 212 Phone: 832-3100 Department Website"
Sociology, "Sociology Sociology The Sociology Department offers degree programs and/or concentrations in sociology, and social work. The sociology major provides students with an understanding of the complex social structures and processes that connect their private lives and experiences to both their own society and the global society. Within either a general or honors track, students select courses from the following areas: sociology and law, sociology and research methods, sociology and social services, sociology and health care, sociology and business, and social inequity. PROGRAM OF STUDY: BA DEPARTMENT CHAIR John Mitrano Location: DiLoreto Hall 208 Phone: 832-3135 Department Website"
Theatre, "Theatre Theatre Both the BA and BFA degrees with specialization in acting, technical theatre, general theatre, and dance are offered by the theatre Department. Beyond or in conjunction with course work, students have the opportunity to participate in at least four major campus productions a year plus a Broadway student production in New York City's theatre district. Design students work in lighting, sound, costumes, or scenery for main stage productions. Students collaborate with faculty and fellow students in theatre 123, a small experimental theatre for non-traditional productions. Internships with area professional theatres are available. PROGRAMS OF STUDY: BA, BFA DEPARTMENT CHAIR Lani Johnson Location: Maloney Hall 107 Phone: 832-3150 Department Website Further Information"
